date,usd_buy_black_market,usd_sell_black_market,usd_buy_bank,usd_sell_bank,usd_deposit_bank,gap_black_market,gap_bank,difference_buy,difference_sell
21-11-2020,23190,23220,23055,23265,23085,30,210,0.005855562784645496,-0.0019342359767892114
22-11-2020,23190,23220,23055,23265,23085,30,210,0.005855562784645496,-0.0019342359767892114
23-11-2020,23190,23220,23030,23240,23060,30,210,0.006947459834997893,-0.000860585197934638
24-11-2020,23200,23230,23040,23250,23070,30,210,0.00694444444444442,-0.0008602150537634357
25-11-2020,23200,23230,23040,23250,23070,30,210,0.00694444444444442,-0.0008602150537634357
26-11-2020,23200,23230,23050,23260,23080,30,210,0.006507592190889477,-0.0012897678417884695
27-11-2020,23200,23230,23050,23260,23080,30,210,0.006507592190889477,-0.0012897678417884695
28-11-2020,23200,23230,23050,23260,23080,30,210,0.006507592190889477,-0.0012897678417884695
29-11-2020,23200,23230,23050,23260,23080,30,210,0.006507592190889477,-0.0012897678417884695
30-11-2020,23220,23260,23020,23230,23050,40,210,0.008688097306689846,0.001291433491175109
01-12-2020,23200,23230,23020,23230,23050,30,210,0.007819287576020795,0.0
02-12-2020,23180,23210,23020,23230,23050,30,210,0.0069504778453519656,-0.0008609556607834801
03-12-2020,23170,23200,23020,23230,23050,30,210,0.006516072980017329,-0.00129143349117522
04-12-2020,23170,23200,23010,23220,23040,30,210,0.006953498478922127,-0.0008613264427217437
05-12-2020,23170,23200,23010,23220,23040,30,210,0.006953498478922127,-0.0008613264427217437
06-12-2020,23170,23200,23010,23220,23040,30,210,0.006953498478922127,-0.0008613264427217437
07-12-2020,23200,23230,23010,23220,23040,30,210,0.008257279443720122,0.00043066322136087187
08-12-2020,23200,23230,23010,23220,23040,30,210,0.008257279443720122,0.00043066322136087187
09-12-2020,23200,23230,23010,23220,23040,30,210,0.008257279443720122,0.00043066322136087187
10-12-2020,23200,23240,23010,23220,23040,40,210,0.008257279443720122,0.0008613264427217437
11-12-2020,23210,23240,23010,23220,23040,30,210,0.008691873098652714,0.0008613264427217437
12-12-2020,23200,23230,23010,23220,23040,30,210,0.008257279443720122,0.00043066322136087187
13-12-2020,23200,23230,23010,23220,23040,30,210,0.008257279443720122,0.00043066322136087187
14-12-2020,23200,23230,23010,23220,23040,30,210,0.008257279443720122,0.00043066322136087187
15-12-2020,23210,23240,23010,23220,23040,30,210,0.008691873098652714,0.0008613264427217437
16-12-2020,23210,23240,23010,23220,23040,30,210,0.008691873098652714,0.0008613264427217437
17-12-2020,23200,23230,23010,23220,23040,30,210,0.008257279443720122,0.00043066322136087187
18-12-2020,23200,23230,23010,23220,23040,30,210,0.008257279443720122,0.00043066322136087187
19-12-2020,23220,23250,23010,23220,23040,30,210,0.009126466753585305,0.0012919896640826156
20-12-2020,23220,23250,23010,23220,23040,30,210,0.009126466753585305,0.0012919896640826156
21-12-2020,23210,23240,23010,23220,23040,30,210,0.008691873098652714,0.0008613264427217437
22-12-2020,23210,23240,23010,23220,23040,30,210,0.008691873098652714,0.0008613264427217437
23-12-2020,23210,23240,23010,23220,23040,30,210,0.008691873098652714,0.0008613264427217437
24-12-2020,23250,23290,23010,23220,23040,40,210,0.010430247718383301,0.003014642549526325
25-12-2020,23260,23290,23010,23220,23040,30,210,0.010864841373315892,0.003014642549526325
26-12-2020,23260,23290,23010,23220,23040,30,210,0.010864841373315892,0.003014642549526325
27-12-2020,23290,23320,23010,23220,23040,30,210,0.012168622338113888,0.004306632213608941
28-12-2020,23290,23320,23010,23220,23040,30,210,0.012168622338113888,0.004306632213608941
29-12-2020,23320,23360,23010,23220,23040,40,210,0.013472403302911884,0.00602928509905265
30-12-2020,23370,23400,22980,23190,23010,30,210,0.016971279373368064,0.009055627425614388
